frame,object_id,class
50,0,car
79,3,car
125,4,car
159,9,car
242,11,car
275,19,car
280,12,car
306,13,car
342,36,car
350,27,car
375,40,car
393,47,car
425,45,car
461,52,car
523,56,car
577,61,car
581,67,car
